[2025-09-10 08:13:37,110][trainer][INFO] - Start Trainning (blocks #0)
[2025-09-10 08:15:08,283][trainer][INFO] - Epoch: 28/10000 ,time: 3.14 ,lr: 5.00e-03 ,train_mse: 0.13815  train_mse_bc: 0.07894 ,val_mse: 0.95499  val_mse_bc: 0.54571
[2025-09-10 08:15:11,401][trainer][INFO] - Epoch: 29/10000 ,time: 3.12 ,lr: 5.00e-03 ,train_mse: 0.13735  train_mse_bc: 0.07849 ,val_mse: 0.98032  val_mse_bc: 0.56018
[2025-09-10 08:15:14,516][trainer][INFO] - Epoch: 30/10000 ,time: 3.12 ,lr: 5.00e-03 ,train_mse: 0.13673  train_mse_bc: 0.07813 ,val_mse: 0.99411  val_mse_bc: 0.56806
[2025-09-10 08:15:17,659][trainer][INFO] - Epoch: 31/10000 ,time: 3.14 ,lr: 5.00e-03 ,train_mse: 0.13606  train_mse_bc: 0.07775 ,val_mse: 1.00384  val_mse_bc: 0.57362
[2025-09-10 08:15:20,769][trainer][INFO] - Epoch: 32/10000 ,time: 3.11 ,lr: 5.00e-03 ,train_mse: 0.13549  train_mse_bc: 0.07742 ,val_mse: 1.01044  val_mse_bc: 0.57739
[2025-09-10 08:15:23,883][trainer][INFO] - Epoch: 33/10000 ,time: 3.11 ,lr: 5.00e-03 ,train_mse: 0.13492  train_mse_bc: 0.07709 ,val_mse: 1.01342  val_mse_bc: 0.57910
[2025-09-10 08:15:26,998][trainer][INFO] - Epoch: 34/10000 ,time: 3.11 ,lr: 5.00e-03 ,train_mse: 0.13432  train_mse_bc: 0.07676 ,val_mse: 1.01543  val_mse_bc: 0.58025
[2025-09-10 08:15:30,114][trainer][INFO] - Epoch: 35/10000 ,time: 3.12 ,lr: 5.00e-03 ,train_mse: 0.13374  train_mse_bc: 0.07642 ,val_mse: 1.01577  val_mse_bc: 0.58044
[2025-09-10 08:15:33,232][trainer][INFO] - Epoch: 36/10000 ,time: 3.12 ,lr: 5.00e-03 ,train_mse: 0.13314  train_mse_bc: 0.07608 ,val_mse: 1.01554  val_mse_bc: 0.58031
[2025-09-10 08:15:36,359][trainer][INFO] - Epoch: 37/10000 ,time: 3.13 ,lr: 5.00e-03 ,train_mse: 0.13254  train_mse_bc: 0.07573 ,val_mse: 1.01486  val_mse_bc: 0.57992
[2025-09-10 08:15:39,480][trainer][INFO] - Epoch: 38/10000 ,time: 3.12 ,lr: 5.00e-03 ,train_mse: 0.13191  train_mse_bc: 0.07538 ,val_mse: 1.01348  val_mse_bc: 0.57913
[2025-09-10 08:15:42,725][trainer][INFO] - Epoch: 39/10000 ,time: 3.24 ,lr: 5.00e-03 ,train_mse: 0.13129  train_mse_bc: 0.07502 ,val_mse: 1.01156  val_mse_bc: 0.57803
[2025-09-10 08:15:45,931][trainer][INFO] - Epoch: 40/10000 ,time: 3.21 ,lr: 5.00e-03 ,train_mse: 0.13066  train_mse_bc: 0.07466 ,val_mse: 1.00862  val_mse_bc: 0.57635
[2025-09-10 08:15:49,073][trainer][INFO] - Epoch: 41/10000 ,time: 3.14 ,lr: 5.00e-03 ,train_mse: 0.13004  train_mse_bc: 0.07431 ,val_mse: 1.00588  val_mse_bc: 0.57479
[2025-09-10 08:15:52,258][trainer][INFO] - Epoch: 42/10000 ,time: 3.19 ,lr: 5.00e-03 ,train_mse: 0.12957  train_mse_bc: 0.07404 ,val_mse: 1.00870  val_mse_bc: 0.57640
[2025-09-10 08:15:55,428][trainer][INFO] - Epoch: 43/10000 ,time: 3.17 ,lr: 5.00e-03 ,train_mse: 0.12897  train_mse_bc: 0.07370 ,val_mse: 0.99011  val_mse_bc: 0.56578
[2025-09-10 08:15:58,603][trainer][INFO] - Epoch: 44/10000 ,time: 3.18 ,lr: 5.00e-03 ,train_mse: 0.12821  train_mse_bc: 0.07326 ,val_mse: 1.00236  val_mse_bc: 0.57278
[2025-09-10 08:16:01,776][trainer][INFO] - Epoch: 45/10000 ,time: 3.17 ,lr: 5.00e-03 ,train_mse: 0.12793  train_mse_bc: 0.07310 ,val_mse: 0.99634  val_mse_bc: 0.56934
[2025-09-10 08:16:04,939][trainer][INFO] - Epoch: 46/10000 ,time: 3.16 ,lr: 5.00e-03 ,train_mse: 0.12730  train_mse_bc: 0.07275 ,val_mse: 0.99281  val_mse_bc: 0.56732
[2025-09-10 08:16:08,119][trainer][INFO] - Epoch: 47/10000 ,time: 3.18 ,lr: 5.00e-03 ,train_mse: 0.12680  train_mse_bc: 0.07246 ,val_mse: 0.99162  val_mse_bc: 0.56664
[2025-09-10 08:16:11,270][trainer][INFO] - Epoch: 48/10000 ,time: 3.15 ,lr: 5.00e-03 ,train_mse: 0.12637  train_mse_bc: 0.07221 ,val_mse: 0.98375  val_mse_bc: 0.56214
