[2025-09-10 03:44:37,390][trainer][INFO] - Start Trainning (blocks #0)
[2025-09-10 03:56:06,401][trainer][INFO] - Epoch: 28/2000 ,time: 23.26 ,lr: 1.00e-03 ,train_mse: 0.08091  train_mse_bc: 0.04130 ,val_mse: 0.07242  val_mse_bc: 0.03696
[2025-09-10 03:56:29,668][trainer][INFO] - Epoch: 29/2000 ,time: 23.27 ,lr: 1.00e-03 ,train_mse: 0.08008  train_mse_bc: 0.04087 ,val_mse: 0.07151  val_mse_bc: 0.03650
[2025-09-10 03:56:53,032][trainer][INFO] - Epoch: 30/2000 ,time: 23.36 ,lr: 1.00e-03 ,train_mse: 0.07951  train_mse_bc: 0.04058 ,val_mse: 0.07067  val_mse_bc: 0.03607
[2025-09-10 03:57:16,310][trainer][INFO] - Epoch: 31/2000 ,time: 23.28 ,lr: 1.00e-03 ,train_mse: 0.07912  train_mse_bc: 0.04038 ,val_mse: 0.07002  val_mse_bc: 0.03574
[2025-09-10 03:57:39,698][trainer][INFO] - Epoch: 32/2000 ,time: 23.39 ,lr: 1.00e-03 ,train_mse: 0.07878  train_mse_bc: 0.04021 ,val_mse: 0.06937  val_mse_bc: 0.03541
[2025-09-10 03:58:02,954][trainer][INFO] - Epoch: 33/2000 ,time: 23.26 ,lr: 1.00e-03 ,train_mse: 0.07850  train_mse_bc: 0.04007 ,val_mse: 0.06889  val_mse_bc: 0.03516
[2025-09-10 03:58:26,266][trainer][INFO] - Epoch: 34/2000 ,time: 23.31 ,lr: 1.00e-03 ,train_mse: 0.07826  train_mse_bc: 0.03995 ,val_mse: 0.06846  val_mse_bc: 0.03494
[2025-09-10 03:58:49,680][trainer][INFO] - Epoch: 35/2000 ,time: 23.41 ,lr: 1.00e-03 ,train_mse: 0.07806  train_mse_bc: 0.03984 ,val_mse: 0.06819  val_mse_bc: 0.03480
[2025-09-10 03:59:12,964][trainer][INFO] - Epoch: 36/2000 ,time: 23.28 ,lr: 1.00e-03 ,train_mse: 0.07789  train_mse_bc: 0.03976 ,val_mse: 0.06796  val_mse_bc: 0.03469
[2025-09-10 03:59:36,283][trainer][INFO] - Epoch: 37/2000 ,time: 23.32 ,lr: 1.00e-03 ,train_mse: 0.07773  train_mse_bc: 0.03968 ,val_mse: 0.06778  val_mse_bc: 0.03460
[2025-09-10 03:59:59,576][trainer][INFO] - Epoch: 38/2000 ,time: 23.29 ,lr: 1.00e-03 ,train_mse: 0.07761  train_mse_bc: 0.03961 ,val_mse: 0.06766  val_mse_bc: 0.03454
[2025-09-10 04:00:22,990][trainer][INFO] - Epoch: 39/2000 ,time: 23.41 ,lr: 1.00e-03 ,train_mse: 0.07746  train_mse_bc: 0.03954 ,val_mse: 0.06745  val_mse_bc: 0.03443
[2025-09-10 04:00:46,371][trainer][INFO] - Epoch: 40/2000 ,time: 23.38 ,lr: 1.00e-03 ,train_mse: 0.07734  train_mse_bc: 0.03948 ,val_mse: 0.06738  val_mse_bc: 0.03439
[2025-09-10 04:01:09,631][trainer][INFO] - Epoch: 41/2000 ,time: 23.26 ,lr: 1.00e-03 ,train_mse: 0.07720  train_mse_bc: 0.03941 ,val_mse: 0.06721  val_mse_bc: 0.03431
